image_id,filename,relative_path,dataset_name,dataset_slug,source_type,product_name,product_domain,final_label,source_group,review_status,source_batch,batch_name,original_filename,original_relative_path,split
manual_batch_000001,manual_3cbc14306fbb.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_3cbc14306fbb.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_hangus_1.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_hangus_1.png,train
manual_batch_000002,manual_853b8388a574.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_853b8388a574.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_hangus_2.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_hangus_2.png,train
manual_batch_000003,manual_757fe51aa51d.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_757fe51aa51d.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_hangus_3.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_hangus_3.png,train
manual_batch_000004,manual_08766298fd19.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_08766298fd19.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_hangus_4.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_hangus_4.png,train
manual_batch_000005,manual_a489fe98a911.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_a489fe98a911.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_hangus_5.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_hangus_5.png,train
manual_batch_000006,manual_92891a15f0d7.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_92891a15f0d7.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_jamur_1.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_jamur_1.png,train
manual_batch_000007,manual_26674d7c706d.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_26674d7c706d.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_jamur_2.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_jamur_2.png,train
manual_batch_000008,manual_9597d31d9975.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_9597d31d9975.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_jamur_3.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_jamur_3.png,train
manual_batch_000009,manual_47d9ec37e7f2.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_47d9ec37e7f2.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_jamur_4.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_jamur_4.png,train
manual_batch_000010,manual_19d921207cf5.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_19d921207cf5.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_jamur_5.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_jamur_5.png,train
manual_batch_000011,manual_1fce112d2801.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_1fce112d2801.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_rusak_1 (1).png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_rusak_1 (1).png,train
manual_batch_000012,manual_8107f7aaa41f.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_8107f7aaa41f.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_rusak_1.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_rusak_1.png,train
manual_batch_000013,manual_e11546e49ba5.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_e11546e49ba5.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_rusak_2 (1).png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_rusak_2 (1).png,train
manual_batch_000014,manual_10e1878355d0.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_10e1878355d0.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_rusak_2.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_rusak_2.png,train
manual_batch_000015,manual_7bd7994ef6c1.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_7bd7994ef6c1.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_rusak_3 (1).png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_rusak_3 (1).png,train
manual_batch_000016,manual_57a86295532f.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_57a86295532f.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_rusak_3.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_rusak_3.png,train
manual_batch_000017,manual_b05c48d7a5b2.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_b05c48d7a5b2.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_rusak_4 (1).png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_rusak_4 (1).png,train
manual_batch_000018,manual_d4540793ef5a.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_d4540793ef5a.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_rusak_4.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_rusak_4.png,train
manual_batch_000019,manual_5b6b3483b6f0.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_5b6b3483b6f0.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_rusak_5 (1).png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_rusak_5 (1).png,train
manual_batch_000020,manual_f2921bb1febd.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_f2921bb1febd.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_rusak_5.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_rusak_5.png,train
manual_batch_000021,manual_2a4fdd83aed4.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_2a4fdd83aed4.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_tekstur_rusak_1.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_tekstur_rusak_1.png,train
manual_batch_000022,manual_0bd5937f021b.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_0bd5937f021b.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_tekstur_rusak_2.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_tekstur_rusak_2.png,train
manual_batch_000023,manual_58b410d91deb.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_58b410d91deb.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_tekstur_rusak_3.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_tekstur_rusak_3.png,val
manual_batch_000024,manual_fb2e22b33df7.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_fb2e22b33df7.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_tekstur_rusak_4.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_tekstur_rusak_4.png,val
manual_batch_000025,manual_4caefbf70549.jpg,dataset/working/manual_normalized/biskuit/tidak_layak_jual/manual_4caefbf70549.jpg,dataset-scrape,dataset_scrape_manual,manual,biskuit,biskuit_kukis,tidak_layak_jual,manual_batch,prepared,biskuit_non_sellable_batch_01,batch_01,biskuit_tekstur_rusak_5.png,dataset-scrape/scraped/incoming/biskuit/non_sellable/batch_01/biskuit_tekstur_rusak_5.png,val
